,population,income,house_value,rent,tract,unemployment,poverty,tract_str,tract_str_last6,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
0,4027,22984,325000,1062,7801,0.08,0.3,8001007801,007801,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,79.0,0.0
1,4598,25444,300500,1061,7802,0.07,0.32,8001007802,007802,,,,,,,,,,,,,,,,,0.0
2,5749,31779,304000,1190,7900,0.07,0.18,8001007900,007900,,,,,,,,,0.0,24.0,48.0,72.0,96.0,116.0,131.0,144.0,0.0
3,5515,30644,336500,1363,8000,0.04,0.09,8001008000,008000,,,,,,8.0,20.0,29.0,,,,,,,,,0.0
4,1538,30441,-666666666,1815,8100,0.03,0.23,8001008100,008100,,,,,,,,,,,,,,,,,0.0
5,6892,29274,312100,1971,8200,0.05,0.07,8001008200,008200,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,0.0
6,5827,29177,211500,1123,8308,0.05,0.12,8001008308,008308,,,,,,,,,0.0,12.0,36.0,60.0,84.0,101.0,113.0,124.0,0.0
7,4023,28949,67800,1205,8309,0.05,0.12,8001008309,008309,,,,,,,,,,,,,,,,,0.0
8,4211,46744,343700,1217,8354,0.01,0.11,8001008354,008354,,,,,,,,,,,,,,,,,0.0
9,5016,27990,323500,1045,8355,0.06,0.18,8001008355,008355,,,,,,,,,0.0,0.0,12.0,17.0,,,23.0,32.0,0.0
10,5491,41541,374100,1201,8401,0.03,0.06,8001008401,008401,,,,,,,,,,,,,,,,,0.0
11,4974,50228,412700,1238,8402,0.04,0.04,8001008402,008402,,,,,,,,,,,,,,,,,0.0
12,6952,38430,336100,2059,8505,0.07,0.11,8001008505,008505,,,,,,,,,,,,,,,,,0.0
13,6249,33160,303700,1332,8506,0.04,0.09,8001008506,008506,0.0,28.0,52.0,76.0,100.0,124.0,139.0,150.0,0.0,24.0,51.0,84.0,108.0,144.0,171.0,196.0,346.0
14,6091,34045,330500,2109,8507,0.08,0.09,8001008507,008507,,,,,,,,,,,,,,,,,0.0
15,5536,34940,345600,1815,8508,0.02,0.05,8001008508,008508,0.0,,,,,,,,,,,3.0,15.0,27.0,39.0,51.0,51.0
16,9478,56396,449700,2176,8524,0.05,0.06,8001008524,008524,,,,,,,,,,,,,,,,,0.0
17,7366,52192,443400,1803,8526,0.03,0.04,8001008526,008526,,,,,,,,,,,,,,,,,0.0
18,8142,41688,366700,1836,8533,0.04,0.05,8001008533,008533,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,144.0
19,4693,44688,351300,2050,8534,0.04,0.05,8001008534,008534,,,,,,,,,,,,,,,,,0.0
20,4626,42705,352400,1618,8535,0.03,0.07,8001008535,008535,,,,,,,,,,,,,,,,,0.0
21,4346,54794,458800,2229,8536,0.01,0.04,8001008536,008536,,,,,,,,,,,,,,,,,0.0
22,10456,60297,444500,2345,8538,0.06,0.04,8001008538,008538,,,,,,,,,,,,,,,,,0.0
23,9156,55069,470100,2024,8540,0.07,0.04,8001008540,008540,,,,,,,,,,,,3.0,15.0,27.0,29.0,38.0,0.0
24,5898,58715,476300,2310,8544,0.04,0.08,8001008544,008544,,,,,,,,,,,,,,,,,0.0
25,6265,46884,412700,1877,8545,0.03,0.03,8001008545,008545,,,,,,,,,,,,,,,,,0.0
26,3999,41484,343900,1917,8546,0.05,0.04,8001008546,008546,,,,,,,,,,,,,,,,,0.0
27,3243,47245,355700,1679,8547,0.04,0.04,8001008547,008547,,,,,,,,,,,,,,,,,0.0
28,1729,48913,358700,1819,8548,0.01,0.1,8001008548,008548,,,,,,,,,,,,,,,,,0.0
29,4113,47763,355900,2293,8549,0.04,0.08,8001008549,008549,,,,,,,,,,,,,,,,,0.0
30,7788,43928,388500,2124,8550,0.03,0.02,8001008550,008550,,,,,,,,,,,,,,,,,0.0
31,1647,64872,565500,-666666666,8551,0.03,0.04,8001008551,008551,,,,,,,,,,,,,,,,,0.0
32,4378,47280,441000,1628,8552,0.07,0.07,8001008552,008552,,,,,,,,,,,,,,,,,0.0
33,5096,52552,564400,1887,8553,0.04,0.08,8001008553,008553,,,,,,,,,,,,,,,,,0.0
34,2750,28882,382300,1197,8554,0.19,0.06,8001008554,008554,,,,,,,,,,,,,,,,,0.0
35,6145,35620,382300,1691,8555,0.07,0.17,8001008555,008555,,,,,,,,,,,,3.0,15.0,20.0,,,0.0
