,tract,year,rec,med,dispensary_status,match_id
0,8001007801,2014,0.0,0.0,0.0,180.0
1,8001007801,2015,12.0,0.0,0.0,180.0
2,8001007801,2016,24.0,0.0,0.0,180.0
3,8001007801,2017,36.0,0.0,0.0,180.0
4,8001007801,2018,48.0,0.0,0.0,180.0
5,8001007801,2019,60.0,0.0,0.0,180.0
6,8001007801,2020,72.0,0.0,0.0,180.0
7,8001007801,2021,79.0,0.0,0.0,180.0
8,8001007802,2014,0.0,0.0,0.0,178.0
9,8001007802,2015,0.0,0.0,0.0,178.0
10,8001007802,2016,0.0,0.0,0.0,178.0
11,8001007802,2017,0.0,0.0,0.0,178.0
12,8001007802,2018,0.0,0.0,0.0,178.0
13,8001007802,2019,0.0,0.0,0.0,178.0
14,8001007802,2020,0.0,0.0,0.0,178.0
15,8001007802,2021,0.0,0.0,0.0,178.0
16,8001007900,2014,0.0,0.0,0.0,168.0
17,8001007900,2015,24.0,0.0,0.0,168.0
18,8001007900,2016,48.0,0.0,0.0,168.0
19,8001007900,2017,72.0,0.0,0.0,168.0
20,8001007900,2018,96.0,0.0,0.0,168.0
21,8001007900,2019,116.0,0.0,0.0,168.0
22,8001007900,2020,131.0,0.0,0.0,168.0
23,8001007900,2021,144.0,0.0,0.0,168.0
24,8001007900,2014,0.0,0.0,0.0,266.0
25,8001007900,2015,24.0,0.0,0.0,266.0
26,8001007900,2016,48.0,0.0,0.0,266.0
27,8001007900,2017,72.0,0.0,0.0,266.0
28,8001007900,2018,96.0,0.0,0.0,266.0
29,8001007900,2019,116.0,0.0,0.0,266.0
30,8001007900,2020,131.0,0.0,0.0,266.0
31,8001007900,2021,144.0,0.0,0.0,266.0
32,8001008100,2014,0.0,0.0,0.0,123.0
33,8001008100,2015,0.0,0.0,0.0,123.0
34,8001008100,2016,0.0,0.0,0.0,123.0
35,8001008100,2017,0.0,0.0,0.0,123.0
36,8001008100,2018,0.0,0.0,0.0,123.0
37,8001008100,2019,0.0,0.0,0.0,123.0
38,8001008100,2020,0.0,0.0,0.0,123.0
39,8001008100,2021,0.0,0.0,0.0,123.0
40,8001008506,2014,0.0,0.0,1.0,0.0
41,8001008506,2015,24.0,28.0,1.0,0.0
42,8001008506,2016,51.0,52.0,1.0,0.0
43,8001008506,2017,84.0,76.0,1.0,0.0
44,8001008506,2018,108.0,100.0,1.0,0.0
45,8001008506,2019,144.0,124.0,1.0,0.0
46,8001008506,2020,171.0,139.0,1.0,0.0
47,8001008506,2021,196.0,150.0,1.0,0.0
48,8001008508,2014,0.0,0.0,1.0,1.0
49,8001008508,2015,0.0,0.0,1.0,1.0
50,8001008508,2016,0.0,0.0,1.0,1.0
51,8001008508,2017,3.0,0.0,1.0,1.0
52,8001008508,2018,15.0,0.0,1.0,1.0
53,8001008508,2019,27.0,0.0,1.0,1.0
54,8001008508,2020,39.0,0.0,1.0,1.0
55,8001008508,2021,51.0,0.0,1.0,1.0
56,8001008533,2014,0.0,0.0,1.0,2.0
57,8001008533,2015,0.0,0.0,1.0,2.0
58,8001008533,2016,12.0,12.0,1.0,2.0
59,8001008533,2017,24.0,24.0,1.0,2.0
60,8001008533,2018,36.0,36.0,1.0,2.0
61,8001008533,2019,48.0,48.0,1.0,2.0
62,8001008533,2020,60.0,60.0,1.0,2.0
63,8001008533,2021,72.0,72.0,1.0,2.0
64,8001008535,2014,0.0,0.0,0.0,17.0
65,8001008535,2015,0.0,0.0,0.0,17.0
66,8001008535,2016,0.0,0.0,0.0,17.0
67,8001008535,2017,0.0,0.0,0.0,17.0
68,8001008535,2018,0.0,0.0,0.0,17.0
69,8001008535,2019,0.0,0.0,0.0,17.0
70,8001008535,2020,0.0,0.0,0.0,17.0
71,8001008535,2021,0.0,0.0,0.0,17.0
