,Unnamed: 0.1,Unnamed: 0,DBA,ZIP,TYPE,CITY,YEAR,LAT,LONG,google_name,address,TRACT,STATE,County,New_TRACT,GEOID,INTPTLAT,INTPTLON
0,0,0,  HAPPY BUDDHA WELLNESS CENTER,80909.0,Med,Colorado Springs,2017,38.8472828,-104.7607104,Happy Buddha Wellness Center,"3612 Galley Rd, Colorado Springs, CO 80909, United States",2000.0,Colorado,El Paso,002000,08031002000,+39.7353735,-104.9911970
1,1,1, MOUNTAIN CANNABIS,81432.0,Rec,Ridgway,2019,38.1522961,-107.7496285,Rocky Mountain Cannabis,"153 US-550 #102, Ridgway, CO 81432, United States",967602.0,Colorado,Ouray,967602,08091967602,+38.1235121,-107.7003856
2,2,2,10185 RIDGE,80033.0,Med,Wheat Ridge,2018,39.7845264,-105.1358817,Solace Meds,"4845 Van Gordon St, Wheat Ridge, CO 80033, United States",10402.0,Colorado,Jefferson,010402,08059010402,+39.7889834,-105.1073582
3,3,3,1136 YUMA,80204.0,Med & Rec,Denver,2016,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
4,4,4,1136 YUMA,80204.0,Med & Rec,Denver,2017,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
5,5,5,1136 YUMA,80204.0,Med & Rec,Denver,2018,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
6,6,6,1136 YUMA,80204.0,Med & Rec,Denver,2019,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
7,7,7,1136 YUMA,80204.0,Med & Rec,Denver,2020,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
8,8,8,1136 YUMA,80204.0,Med & Rec,Denver,2021,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
9,9,9,1136 YUMA,80204.0,Med & Rec,Denver,2022,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
10,10,10,1136 YUMA,80246.0,Med,Glendale,2019,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver,001901,08031001901,+39.7331806,-105.0086286
11,11,11,14ER HOLISTICS,80301.0,Med,Boulder,2014,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
12,12,12,14ER HOLISTICS,80301.0,Med,Boulder,2015,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
13,13,13,14ER HOLISTICS,80301.0,Med,Boulder,2016,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
14,14,14,14ER HOLISTICS,80301.0,Med,Boulder,2017,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
15,15,15,14ER HOLISTICS,80301.0,Med,Boulder,2018,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
16,16,16,14ER HOLISTICS,80301.0,Med,Boulder,2019,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
17,17,17,14ER HOLISTICS,80301.0,Med,Boulder,2020,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
18,18,18,14ER HOLISTICS,80301.0,Med,Boulder,2021,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
19,19,19,14ER HOLISTICS,80301.0,Med,Boulder,2022,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
20,20,20,14er HOLISTICS,80301.0,Rec,Boulder,2014,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
21,21,21,14er HOLISTICS,80301.0,Rec,Boulder,2015,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
22,22,22,14er HOLISTICS,80301.0,Rec,Boulder,2016,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
23,23,23,14er HOLISTICS,80301.0,Rec,Boulder,2017,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
24,24,24,14er HOLISTICS,80301.0,Rec,Boulder,2018,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
25,25,25,14er HOLISTICS,80301.0,Rec,Boulder,2019,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
26,26,26,14er HOLISTICS,80301.0,Rec,Boulder,2020,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
27,27,27,14er HOLISTICS,80301.0,Rec,Boulder,2021,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
28,28,28,14er HOLISTICS,80301.0,Rec,Boulder,2022,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder,012208,08013012208,+40.0211401,-105.2391418
29,29,29,1859,80422.0,Med & Rec,Black Hawk,2014,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
30,30,30,1859,80422.0,Med & Rec,Black Hawk,2015,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
31,31,31,1859,80422.0,Med & Rec,Black Hawk,2016,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
32,32,32,1859,80422.0,Med & Rec,Black Hawk,2017,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
33,33,33,1859,80422.0,Med & Rec,Black Hawk,2018,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
34,34,34,1859,80422.0,Med & Rec,Black Hawk,2019,39.80151439999999,-105.4953976,The Green Solution Dispensary,"231 Gregory St, Black Hawk, CO 80422, United States",13802.0,Colorado,Gilpin,013802,08047013802,+39.8294506,-105.4662781
35,35,35,1917 SANTA FE,81006.0,Med & Rec,Pueblo,2018,38.2458481,-104.5752398,Apothecary Farms - Pueblo,"1917 Santa Fe Dr, Pueblo, CO 81006, United States",3103.0,Colorado,Pueblo,003103,08101003103,+38.2430743,-104.5722952
36,36,36,1917 SANTA FE,81006.0,Med & Rec,Pueblo,2019,38.2458481,-104.5752398,Apothecary Farms - Pueblo,"1917 Santa Fe Dr, Pueblo, CO 81006, United States",3103.0,Colorado,Pueblo,003103,08101003103,+38.2430743,-104.5722952
