,population,income,house_value,rent,tract,unemployment,poverty
0,3504,42608,430500,2001,08035014506,0.04,0.06
1,7359,39786,219200,1738,08035014603,0.05,0.03
2,4096,52089,276200,1685,08035014604,0.06,0.11
3,5984,30932,359400,1591,08037000301,0.06,0.05
4,2289,32500,639000,943,08037000302,0.07,0.07
5,5328,31167,484200,1175,08037000401,0.01,0.18
6,3807,34335,495400,1388,08037000402,0.02,0.11
7,8232,47423,456600,1505,08037000403,0.05,0.03
8,862,24940,1000001,965,08037000501,0.05,0.11
9,3984,22438,130500,744,08123001201,0.1,0.18
10,2558,38978,439800,1410,08005085300,0.09,0.04
11,1680,51679,600900,1308,08005085000,0.03,0.01
12,7110,52145,405500,1975,08005085100,0.05,0.06
13,3034,51886,374200,2001,08005085200,0.03,0.01
14,4529,40861,251700,1715,08005085400,0.06,0.06
15,5291,49069,275600,1585,08005085500,0.04,0.04
16,3513,46544,339700,-666666666,08005085600,0.05,0.04
17,4612,36807,150900,1244,08005085700,0.08,0.05
18,1711,31774,220100,1263,08005085800,0.04,0.04
19,6166,32442,203100,1046,08031012014,0.05,0.08
20,2929,40456,347600,918,08031002901,0.08,0.15
21,5527,43436,391900,910,08031003001,0.07,0.09
22,3280,9438,339900,987,08031003003,0.08,0.14
23,2638,37234,378200,834,08031003703,0.05,0.11
24,4289,25078,161100,1049,08031004403,0.12,0.3
25,3518,22926,262700,842,08031005104,0.14,0.21
26,3244,37333,280700,1361,08031005200,0.07,0.09
27,3150,30923,181900,935,08031006812,0.1,0.04
28,6380,19192,152700,796,08031008306,0.14,0.36
29,2560,28347,234000,1013,08031011903,0.09,0.13
30,5371,34544,330500,780,08031000301,0.09,0.1
31,3649,19740,149300,709,08031001000,0.12,0.28
32,3010,33648,168900,1160,08031001403,0.04,0.2
33,3443,14831,116500,852,08031001500,0.15,0.36
34,4695,55796,472000,1594,08031001701,0.13,0.16
35,4070,51299,484800,1357,08031002902,0.03,0.03
36,4642,17294,165300,921,08031004101,0.13,0.3
37,5863,24420,155500,1198,08031004601,0.1,0.2
38,5131,40053,204300,963,08031006810,0.04,0.04
39,5981,35317,290300,815,08031006811,0.04,0.06
40,1931,47201,358300,1099,08031000501,0.03,0.1
41,3349,37088,339700,1276,08031001102,0.03,0.17
42,9075,41599,248900,1393,08031001600,0.06,0.28
43,6539,29029,307000,956,08031002300,0.14,0.24
44,3089,66105,729600,1172,08031003203,0.02,0.02
45,4688,18415,162000,1166,08031008386,0.12,0.2
46,6820,21549,158400,1254,08031008387,0.09,0.19
47,7168,32479,175300,1193,08031008388,0.06,0.06
48,9014,35915,233200,1718,08031008389,0.05,0.04
49,9153,28944,193500,1164,08031008390,0.11,0.13
50,7968,30297,165900,1097,08041004511,0.06,0.08
51,3829,30669,172900,1048,08041004601,0.14,0.11
52,3752,29488,187200,1046,08041004602,0.13,0.15
53,5333,33011,195800,1342,08041004603,0.06,0.1
54,7464,41865,206400,1237,08041004705,0.03,0.03
55,5178,44080,263200,1795,08041004706,0.06,0.07
56,6982,35250,205000,1138,08041005105,0.05,0.09
57,10608,36221,222300,1320,08041005106,0.09,0.11
58,7804,39115,249300,1624,08041005107,0.06,0.05
59,8737,36125,214200,1451,08041005108,0.05,0.05
