,population,income,house_value,rent,tract,unemployment,poverty
0,4027,22984,325000,1062,08001007801,0.08,0.3
1,4598,25444,300500,1061,08001007802,0.07,0.32
2,5749,31779,304000,1190,08001007900,0.07,0.18
3,5515,30644,336500,1363,08001008000,0.04,0.09
4,1538,30441,-666666666,1815,08001008100,0.03,0.23
5,6892,29274,312100,1971,08001008200,0.05,0.07
6,5827,29177,211500,1123,08001008308,0.05,0.12
7,4023,28949,67800,1205,08001008309,0.05,0.12
8,4211,46744,343700,1217,08001008354,0.01,0.11
9,5016,27990,323500,1045,08001008355,0.06,0.18
10,5491,41541,374100,1201,08001008401,0.03,0.06
11,4974,50228,412700,1238,08001008402,0.04,0.04
12,6952,38430,336100,2059,08001008505,0.07,0.11
13,6249,33160,303700,1332,08001008506,0.04,0.09
14,6091,34045,330500,2109,08001008507,0.08,0.09
15,5536,34940,345600,1815,08001008508,0.02,0.05
16,9478,56396,449700,2176,08001008524,0.05,0.06
17,7366,52192,443400,1803,08001008526,0.03,0.04
18,8142,41688,366700,1836,08001008533,0.04,0.05
19,4693,44688,351300,2050,08001008534,0.04,0.05
20,4626,42705,352400,1618,08001008535,0.03,0.07
21,4346,54794,458800,2229,08001008536,0.01,0.04
22,10456,60297,444500,2345,08001008538,0.06,0.04
23,9156,55069,470100,2024,08001008540,0.07,0.04
24,5898,58715,476300,2310,08001008544,0.04,0.08
25,6265,46884,412700,1877,08001008545,0.03,0.03
26,3999,41484,343900,1917,08001008546,0.05,0.04
27,3243,47245,355700,1679,08001008547,0.04,0.04
28,1729,48913,358700,1819,08001008548,0.01,0.1
29,4113,47763,355900,2293,08001008549,0.04,0.08
30,7788,43928,388500,2124,08001008550,0.03,0.02
31,1647,64872,565500,-666666666,08001008551,0.03,0.04
32,4378,47280,441000,1628,08001008552,0.07,0.07
33,5096,52552,564400,1887,08001008553,0.04,0.08
34,2750,28882,382300,1197,08001008554,0.19,0.06
35,6145,35620,382300,1691,08001008555,0.07,0.17
36,5912,60088,377500,1797,08001008556,0.02,0.03
37,925,44485,542100,-666666666,08001008557,0.07,0.02
38,3977,59712,401900,-666666666,08001008558,0.01,0.03
39,8057,44906,366000,2295,08001008559,0.05,0.04
40,2195,61962,734800,-666666666,08001008560,0.06,0.01
41,4649,51402,625100,3000,08001008561,0.02,0.01
42,5312,49615,432300,2450,08001008562,0.06,0.11
43,4414,44930,374600,2067,08001008563,0.02,0.03
44,1400,37554,458500,1614,08001008564,0.06,0.04
45,7493,37971,354900,1459,08001008565,0.02,0.04
46,1991,28864,280700,1121,08001008603,0.03,0.28
47,5472,31610,312800,1666,08001008604,0.02,0.05
48,3998,45516,333200,1307,08001008605,0.07,0.08
49,6083,37715,298100,1242,08001008606,0.08,0.05
50,6400,27487,279900,1400,08001008705,0.07,0.24
51,5882,25296,269500,1114,08001008706,0.04,0.15
52,7696,29801,285600,1166,08001008709,0.04,0.19
53,5416,29335,276900,1631,08001008801,0.04,0.19
54,4863,35174,195100,1210,08001008802,0.06,0.16
55,2732,27126,277400,1367,08001008901,0.06,0.09
56,4806,27434,289300,1500,08001009001,0.08,0.18
57,4584,38817,310000,1443,08001009003,0.07,0.07
58,5093,43674,238100,1396,08001009004,0.01,0.12
59,4506,39893,319100,1627,08001009101,0.01,0.02
60,4485,26029,53700,1348,08001009103,0.04,0.15
61,6441,36805,307000,1626,08001009104,0.02,0.12
62,4557,35344,292400,1508,08001009202,0.05,0.13
63,5614,31250,324500,1469,08001009203,0.04,0.16
64,6928,35662,377000,1689,08001009204,0.03,0.12
65,2587,46972,298400,1726,08001009206,0.05,0.03
66,4782,34270,338000,1445,08001009207,0.06,0.06
67,5590,36888,332400,1347,08001009304,0.03,0.06
68,3620,34806,331400,2022,08001009306,0.0,0.12
69,3461,32686,321600,1401,08001009307,0.04,0.04
70,4706,31716,311900,1380,08001009308,0.07,0.06
71,4421,32109,322300,1122,08001009309,0.08,0.09
72,7097,31238,337000,1621,08001009310,0.05,0.1
73,7147,26409,66000,1459,08001009316,0.05,0.15
74,6662,26495,139700,1204,08001009318,0.06,0.24
75,2814,26836,218300,1173,08001009319,0.13,0.36
76,3002,33024,157700,1399,08001009320,0.05,0.2
77,4545,27478,-666666666,1423,08001009321,0.01,0.13
78,5111,28356,119500,1458,08001009322,0.05,0.1
79,3782,35192,366600,1392,08001009323,0.04,0.15
80,5410,44398,441600,1625,08001009325,0.02,0.1
81,2968,50368,476400,1804,08001009326,0.04,0.05
82,4681,44122,385900,1035,08001009327,0.01,0.03
83,5017,36212,351600,1676,08001009401,0.04,0.08
84,5057,38458,336600,1736,08001009406,0.03,0.07
85,5099,36198,375400,1618,08001009407,0.04,0.07
86,4922,54418,477700,2277,08001009408,0.02,0.01
87,5546,57087,537600,1841,08001009409,0.07,0.02
88,3236,56379,492800,1706,08001009410,0.04,0.01
89,3064,50081,418100,1907,08001009411,0.02,0.08
90,3089,33340,317000,1107,08001009501,0.13,0.11
91,4869,39767,382900,2099,08001009502,0.02,0.06
92,3576,38198,419500,1121,08001009553,0.04,0.1
93,6547,30493,299600,1361,08001009603,0.07,0.17
94,4400,35534,323000,1168,08001009604,0.09,0.17
95,2570,29601,320300,1311,08001009606,0.07,0.04
96,4401,35205,375600,1139,08001009607,0.03,0.13
97,2910,51563,357200,1421,08001009608,0.08,0.03
98,3998,25056,-666666666,1394,08001009751,0.06,0.24
99,3276,35444,386500,1477,08001009752,0.06,0.07
100,3113,23182,-666666666,1275,08001015000,0.11,0.2
101,2554,46731,757900,1704,08001060001,0.02,0.06
102,4008,54949,553400,2694,08001060002,0.02,0.03
103,7486,46972,439700,2217,08001060100,0.01,0.04
104,4525,46210,391700,1619,08001060200,0.02,0.06
105,3436,59368,528700,2141,08001061200,0.02,0.03
106,0,-666666666,-666666666,-666666666,08001988700,,
107,2044,27368,157700,775,08003960000,0.01,0.06
108,2668,30354,189800,1007,08003960100,0.04,0.07
109,2662,28493,174400,665,08003960201,0.06,0.16
110,4059,16502,201400,760,08003960202,0.1,0.19
111,4944,19889,115400,704,08003960300,0.04,0.2
112,1514,43450,250300,1319,08005004951,0.01,0.19
113,3091,43424,359700,1627,08005004952,0.03,0.11
114,2858,32922,287600,1541,08005005551,0.1,0.1
115,2622,26728,-666666666,849,08005005552,0.05,0.11
116,4376,37527,362900,1414,08005005553,0.05,0.14
117,5094,43885,510600,1644,08005005611,0.03,0.08
118,3510,41489,1050800,1347,08005005612,0.01,0.05
119,3170,44194,457100,2201,08005005614,0.04,0.04
120,5189,42188,462900,1476,08005005619,0.03,0.03
121,2802,44205,313900,1722,08005005620,0.05,0.09
122,2589,68702,685700,2145,08005005621,0.05,0.02
123,2905,65586,1077100,1702,08005005622,0.02,0.02
124,3723,55465,575300,2090,08005005623,0.07,0.03
125,2194,55556,516800,2000,08005005624,0.02,0.04
126,4117,54877,454400,1818,08005005625,0.02,0.09
127,3625,41467,434000,1746,08005005626,0.07,0.05
128,4610,50934,530200,2125,08005005627,0.03,0.06
129,5798,52298,432100,1673,08005005628,0.08,0.01
130,2617,69167,803700,3501,08005005629,0.03,0.06
131,5098,47429,519500,1737,08005005630,0.01,0.02
132,3232,51574,483600,1838,08005005631,0.06,0.02
133,2944,64984,482900,2432,08005005632,0.05,0.02
134,3909,61866,530400,1776,08005005633,0.02,0.01
135,2865,44279,383500,1484,08005005634,0.08,0.05
136,4665,60717,487300,2296,08005005635,0.02,0.02
137,1825,94063,1749100,-666666666,08005005636,0.03,0.02
138,1825,37469,447000,1160,08005005701,0.07,0.08
