DBA,ZIP,TYPE,CITY,YEAR_FIRST,YEAR_LAST,MONTH_FIRST,MONTH_LAST
 ,80216.0,Med,Denver,2020,2022,9,9
 ,80909.0,Med,Colorado Springs,2022,2022,5,12
  HAPPY BUDDHA WELLNESS CENTER,80909.0,Med,Colorado Springs,2017,2017,9,9
 MOUNTAIN CANNABIS,81432.0,Rec,Ridgway,2019,2019,8,10
10185 RIDGE,80033.0,Med,Wheat Ridge,2018,2018,4,3
1136 YUMA,80204.0,"Med, Rec",Denver,2016,2022,9,12
1136 YUMA,80246.0,Med,Glendale,2019,2019,1,4
14ER HOLISTICS,80301.0,Med,Boulder,2014,2022,12,3
14er HOLISTICS,80301.0,Rec,Boulder,2014,2022,12,12
1859,80422.0,"Med, Rec",Black Hawk,2014,2019,12,8
1917 SANTA FE,81006.0,"Med, Rec",Pueblo,2018,2020,12,1
1:11,81143.0,"Med, Rec",Moffat,2016,2019,9,7
2251SB,80210.0,"Med, Rec",Denver,2019,2020,2,1
3 BUDS WELLNESS CENTER,80909.0,Med,Colorado Springs,2014,2016,12,4
3-D  CENTER,80216.0,Rec,Denver,2016,2017,9,5
3-D CANNABIS CENTER & 3D DISPENSARY,80216.0,Rec,Denver,2014,2015,12,3
37 INC,80910.0,Med,Colorado Springs,2015,2015,11,11
3B KALAMATH,80223.0,Med,Denver,2017,2018,11,5
3B-38,80212.0,Med,Denver,2018,2018,4,5
3D CANNABIS CENTER,81201.0,Rec,Salida,2014,2022,12,11
3D CANNABIS CENTER & 3D DISPENSARY,80216.0,Rec,Denver,2015,2016,12,4
3D Cannabis Center,81201.0,Rec,Salida,2022,2022,12,12
3D DISPENSARY AND/OR 3D CANNABIS CENTER,80216.0,Med,Denver,2014,2015,12,11
3LP,80011.0,Rec,Aurora,2014,2015,12,8
3LP,80019.0,Rec,Aurora,2014,2015,12,8
4 REAL CANNABIS SUPPLY,81133.0,Med,Ft Garland,2014,2015,12,3
4095 SHELTER,80216.0,"Med, Rec",Denver,2018,2018,4,3
420 GREEN GENIE INC,81120.0,Rec,Antonito,2015,2020,12,2
420 WELLNESS,80212.0,Med,Denver,2014,2014,8,9
5 EYED JACK,80027.0,Rec,Louisville,2020,2021,2,7
505 CENTER,80216.0,Med,Denver,2014,2015,12,4
5110 SANCTUARY,80216.0,"Med, Rec",Denver,2018,2018,4,3
5280 WEEDERY,80216.0,"Med, Rec",Denver,2017,2022,9,12
7884,81120.0,Rec,Antonito,2020,2021,12,11
A CUT ABOVE,80210.0,"Med, Rec",Denver,2014,2022,12,8
A CUT ABOVE,80907.0,Med,Colorado Springs,2014,2020,12,8
A CUT ABOVE,80910.0,Med,Colorado Springs,2014,2019,12,6
A CUT ABOVE ,80907.0,Med,Colorado Springs,2020,2022,9,10
A CUT OFF THE TOP MEDICAL MARIJUANA,80204.0,"Med, Rec",Denver,2014,2021,12,8
"A CUT OFF THE TOP MEDICAL MARIJUANA,",80204.0,Rec,Denver,2014,2014,2,1
A Cut Above,80210.0,"Med, Rec",Denver,2022,2022,9,12
A Cut Above,80907.0,Med,Colorado Springs,2022,2022,11,12
A KIND PLACE,80524.0,Med,Fort Collins,2014,2016,12,4
A KIND PLACE,80526.0,Med,Fort Collins,2014,2014,10,9
A Kind Place,80526.0,Med,Fort Collins,2014,2014,8,6
A MEDICAL MARIJUANA DISPENSARY,80224.0,Med,Denver,2014,2016,12,4
A-WELLNESS CENTERS,80907.0,Med,Colorado Springs,2014,2019,12,12
ABLAZE,80211.0,Med,Denver,2014,2015,12,8
ABLAZE,80221.0,Med,Denver,2014,2014,1,1
ABSOLUTE MANITOU WELLNESS CENTER,80829.0,Med,Manitou Springs,2014,2014,8,6
ACES PLACE,80524.0,"Med, Rec",Fort Collins,2014,2022,12,11
ACME DISPENSARY INC,81224.0,"Med, Rec",Crested Butte,2014,2018,12,5
ACME HEALING CENTER,81301.0,"Med, Rec",Durango,2014,2019,12,4
ACME HEALING CENTER OF CARBONDALE,81623.0,Rec,Carbondale,2014,2017,12,9
ACME HEALING CENTER OF CORTEZ,81321.0,Rec,Cortez,2015,2016,12,4
ACME HEALING CENTER OF GUNNISON,81230.0,Rec,Gunnison,2015,2017,12,5
ACME HEALING CENTER OF RIDGWAY,81432.0,"Med, Rec",Ridgway,2014,2019,12,4
ACME HEALING CENTER OF RIDGWAY,814329685.0,Rec,Ridgway,2014,2014,2,2
ACME HEALING CENTER OF RIDGWAY II,81432.0,Rec,Ridgway,2014,2014,12,11
ACME HEALING CENTER OF SILVERTON,81433.0,Rec,Silverton,2015,2019,12,5
ADAMS GREEN CROSSING,80903.0,Med,Colorado Springs,2016,2017,9,3
ADAMS GREEN CROSSING,80904.0,Med,Colorado Springs,2016,2017,9,3
ADAMS GREEN CROSSING,80909.0,Med,Colorado Springs,2016,2017,9,3
ADVANCE CURE FOR VERA BESTURA,80904.0,Med,Colorado Springs,2014,2014,12,6
ADVANCED MEDICAL ALTERNATIVES,80204.0,"Med, Rec",Denver,2014,2017,12,3
AFFINITY,80220.0,"Med, Rec",Denver,2016,2022,9,12
AJOYA,80027.0,"Med, Rec",Louisville,2016,2022,9,12
AJOYA MEDICAL CANNABIS,80215.0,"Med, Rec",Lakewood,2016,2022,9,12
ALAMEDA WELLNESS CENTER,80223.0,"Med, Rec",Denver,2014,2014,1,1
ALIVE HERBAL MEDICINE,80211.0,Med,Denver,2014,2016,12,2
ALLGREENS,80204.0,Med,Denver,2014,2022,12,11
"ALLGREENS,",80204.0,Med,Denver,2016,2016,1,1
ALMA CANNABIS THERAPEUTICS,80420.0,Med,Alma,2014,2014,4,1
ALPENGLOW,80424.0,Rec,Breckenridge,2019,2022,12,12
ALPENGLOW,80435.0,Rec,Dillon,2019,2020,12,8
ALPENGLOW ,80435.0,Rec,Dillon,2020,2022,9,12
ALPENGLOW BOTANICALS,80424.0,"Med, Rec",Breckenridge,2014,2016,12,4
ALPENGLOW BOTANICALS,80435.0,Rec,Dillon,2014,2019,12,11
"ALPENGLOW BOTANICALS,",80424.0,"Med, Rec",Breckenridge,2014,2014,3,1
ALPENGLOW PREMIUM CANNABIS,80424.0,Rec,Breckenridge,2016,2019,12,11
ALPINE ESSENTIALS,80133.0,Med,Palmer Lake,2021,2022,12,10
ALPINE HERBAL WELLNESS,80204.0,Med,Denver,2015,2016,12,4
ALPINE WELLNESS,81423.0,Rec,Norwood,2021,2022,5,4
ALPINE WELLNESS,81435.0,"Med, Rec",Telluride,2014,2022,12,12
ALTAI,80216.0,Med,Denver,2014,2016,12,4
ALTERMEDS,80027.0,"Med, Rec",Louisville,2014,2014,8,6
ALTERNATIVE HOLISTIC HEALING,80422.0,Med,Black Hawk,2014,2014,8,6
ALTERNATIVE MEDICAL REMEDIES,81240.0,Med,Penrose,2014,2021,12,11
ALTERNATIVE MEDICAL SOLUTIONS LTD,81611.0,"Med, Rec",Aspen,2014,2016,12,4
ALTERNATIVE MEDICAL SUPPLIES,80422.0,"Med, Rec",Black Hawk,2014,2016,12,2
ALTERNATIVE MEDICINE COLORADO SPRINGS,80904.0,Med,Colorado Springs,2014,2014,3,3
