,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
2000,4.0,144.0,254.0,386.0,516.0,631.0,734.0,801.0,4.0,68.0,119.0,167.0,221.0,275.0,319.0,355.0,1156.0
967602,0.0,24.0,48.0,72.0,88.0,107.0,131.0,153.0,0.0,28.0,54.0,90.0,118.0,149.0,185.0,225.0,378.0
10402,0.0,12.0,27.0,40.0,56.0,80.0,104.0,122.0,,,3.0,15.0,31.0,55.0,79.0,97.0,219.0
1901,0.0,12.0,27.0,51.0,75.0,99.0,123.0,147.0,,,3.0,15.0,27.0,39.0,51.0,76.0,223.0
12208,14.0,67.0,133.0,211.0,258.0,296.0,335.0,359.0,14.0,67.0,133.0,214.0,273.0,328.0,391.0,438.0,797.0
13802,0.0,38.0,77.0,128.0,164.0,188.0,203.0,208.0,0.0,52.0,117.0,204.0,284.0,355.0,421.0,490.0,698.0
3103,0.0,0.0,45.0,93.0,138.0,175.0,212.0,248.0,0.0,0.0,57.0,117.0,174.0,214.0,272.0,337.0,585.0
977600,0.0,,3.0,15.0,22.0,26.0,38.0,46.0,0.0,12.0,27.0,54.0,89.0,127.0,175.0,217.0,263.0
1403,25.0,157.0,332.0,516.0,683.0,814.0,968.0,1117.0,8.0,82.0,197.0,320.0,443.0,569.0,708.0,837.0,1954.0
3501,4.0,80.0,164.0,243.0,339.0,417.0,489.0,541.0,4.0,80.0,179.0,270.0,378.0,467.0,539.0,591.0,1132.0
2801,0.0,15.0,39.0,75.0,109.0,134.0,159.0,191.0,0.0,15.0,39.0,63.0,85.0,98.0,111.0,132.0,323.0
301,0.0,52.0,122.0,220.0,334.0,419.0,506.0,582.0,0.0,16.0,24.0,51.0,87.0,123.0,159.0,190.0,772.0
200,8.0,44.0,80.0,116.0,144.0,168.0,192.0,209.0,8.0,80.0,152.0,220.0,284.0,348.0,424.0,480.0,689.0
