,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1204,3150,30923,181900,935,0.1,0.04,1,0.5028508083118283,0,1204
230,2803,33111,1000001,1111,0.07,0.05,0,0.5032169705900541,0,230
1205,3010,33648,168900,1160,0.04,0.2,1,0.49696495751732195,1,1205
104,4913,24891,239900,1143,0.14,0.08,0,0.49700706370217157,1,104
1206,12030,41944,196900,1395,0.06,0.06,1,0.23437125255266,2,1206
40,9075,41599,248900,1393,0.06,0.28,0,0.23536751528182243,2,40
1207,1944,17257,81400,758,0.16,0.29,1,0.6062195474434086,3,1207
1203,2846,18097,115100,687,0.14,0.31,0,0.6061889486572872,3,1203
1208,2769,21025,113900,835,0.09,0.2,1,0.6581609194163353,4,1208
855,2543,26250,156500,1111,0.04,0.1,0,0.657527766402036,4,855
295,2709,30615,238100,1110,0.06,0.21,0,0.524104279737895,5,295
1209,1856,33947,821100,1339,0.04,0.11,1,0.5240960077796462,5,1209
1210,3814,37679,257400,1129,0.05,0.02,1,0.4455643646979703,6,1210
174,3556,36355,271700,1614,0.05,0.04,0,0.4450613519861898,6,174
1211,5712,33809,240800,783,0.09,0.08,1,0.4220779682643726,7,1211
549,5564,36556,298200,1070,0.06,0.03,0,0.42156447557728804,7,549
1212,2279,20381,235300,628,0.07,0.24,1,0.6999425363196778,8,1212
147,2365,20941,84500,559,0.08,0.15,0,0.6999572803745749,8,147
1213,2798,51156,364400,975,0.06,0.0,1,0.2530552416978887,9,1213
815,3591,40013,207900,1287,0.14,0.14,0,0.25309127960156386,9,815
199,3265,24434,163500,564,0.07,0.14,0,0.6493368989150747,10,199
1214,1975,22667,152500,866,0.09,0.17,1,0.6491792527538955,10,1214
5,5328,31167,484200,1175,0.01,0.18,0,0.5531567538836493,11,5
1215,3653,27189,142800,1086,0.09,0.1,1,0.5531288144540842,11,1215
1216,5690,45230,605400,1558,0.03,0.02,1,0.301680149589725,12,1216
1085,4945,41761,335600,1268,0.08,0.06,0,0.3009987177541849,12,1085
1217,3760,24756,236900,1070,0.06,0.11,1,0.6350097324492682,13,1217
1164,4306,22598,162400,833,0.08,0.15,0,0.6351864993449429,13,1164
1218,1302,26676,96600,818,0.06,0.07,1,0.6610784041492803,14,1218
1161,1169,26875,143300,491,0.07,0.06,0,0.6613118142444183,14,1161
1219,2391,13365,43400,545,0.22,0.31,1,0.5782733656653511,15,1219
77,3923,24107,363600,1099,0.09,0.19,0,0.5782859348140349,15,77
1220,5330,25097,227500,1022,0.08,0.1,1,0.5797902328844252,16,1220
484,5466,24491,212400,984,0.09,0.08,0,0.5791975891038417,16,484
970,2740,38940,-666666666,1294,0.08,0.09,0,0.7427310261498224,17,970
1221,2229,16534,246700,805,0.06,0.31,1,0.74330199594858,17,1221
1222,3046,30347,243700,888,0.08,0.17,1,0.5138426825208076,18,1222
844,3391,23095,166100,740,0.15,0.23,0,0.5136724712295717,18,844
1223,6824,41536,342500,1099,0.05,0.06,1,0.3258039507933923,19,1223
1174,4258,36826,199300,1133,0.13,0.06,0,0.3259618173158498,19,1174
1224,2012,32475,129700,995,0.1,0.06,1,0.4857611158515542,20,1224
164,8932,23524,157100,1202,0.1,0.17,0,0.48562643287286167,20,164
1225,6310,20481,142400,922,0.16,0.32,1,0.46395284452247454,21,1225
192,4748,30932,215400,952,0.09,0.14,0,0.46401993654687457,21,192
98,3411,14759,289400,736,0.14,0.09,0,0.6973099972356589,22,98
1226,3582,14453,671300,1154,0.06,0.46,1,0.6972548614640972,22,1226
1227,1589,26213,264800,920,0.23,0.2,1,0.3707002367111265,23,1227
159,6455,37543,322300,1313,0.06,0.06,0,0.3712346464815956,23,159
1228,4456,20286,358800,1033,0.07,0.25,1,0.6508312562840824,24,1228
1092,3089,13091,66200,616,0.16,0.34,0,0.6508312102862864,24,1092
1229,7912,32849,607700,1290,0.08,0.12,1,0.38405152614928456,25,1229
1074,5557,37761,260000,1043,0.06,0.1,0,0.3839980705197879,25,1074
1230,2349,11304,73800,551,0.11,0.47,1,0.7198206163449704,26,1230
352,3653,21410,35400,944,0.03,0.16,0,0.719775739060776,26,352
285,2673,18583,165200,692,0.13,0.17,0,0.654559518331843,27,285
1231,4942,21798,115700,855,0.02,0.38,1,0.6545991066779366,27,1231
1232,1590,16354,101400,548,0.21,0.21,1,0.5805135850699742,28,1232
492,4840,22223,218000,680,0.12,0.15,0,0.5805077828856112,28,492
1233,3597,22542,130800,715,0.09,0.17,1,0.6335821820632735,29,1233
340,2677,29435,160200,738,0.03,0.11,0,0.6333020252390713,29,340
1234,2591,22120,133700,792,0.12,0.13,1,0.6179141646975583,30,1234
1196,3998,21667,198900,929,0.11,0.1,0,0.6178754797682277,30,1196
1235,2120,36898,399600,1179,0.04,0.05,1,0.4923232790226818,31,1235
166,4697,31945,189100,1037,0.06,0.13,0,0.4927019308372671,31,166
1236,1910,30160,250900,1006,0.05,0.12,1,0.5894010990423445,32,1236
148,3562,17047,88600,688,0.15,0.34,0,0.589601157852439,32,148
317,5602,30484,373000,1441,0.05,0.11,0,0.5042911850269629,33,317
1237,7928,26152,451900,990,0.06,0.26,1,0.5042911464077352,33,1237
1238,7663,33959,447300,1274,0.07,0.11,1,0.387394748544192,34,1238
88,3216,39620,432300,988,0.07,0.06,0,0.38714137310278063,34,88
1239,2506,30082,430600,1225,0.06,0.15,1,0.5468654867250791,35,1239
916,3620,26623,69700,951,0.09,0.19,0,0.5471108209357078,35,916
1240,1736,20560,117400,643,0.08,0.2,1,0.7005870109450387,36,1240
147,2365,20941,84500,559,0.08,0.15,0,0.6999572803745749,36,147
1241,2661,24678,168600,1135,0.04,0.11,1,0.6762039021712631,37,1241
1029,4443,15765,112000,858,0.07,0.43,0,0.6763290899541144,37,1029
525,6484,4727,-666666666,735,0.25,0.09,0,0.8574127371392081,38,525
1242,2602,24544,-666666666,1015,0.04,0.23,1,0.8578958334317999,38,1242
1202,5165,23180,156600,778,0.06,0.2,0,0.6314739683053031,39,1202
1243,4515,23400,266200,746,0.08,0.11,1,0.6313696105220316,39,1243
1244,2515,24452,220800,785,0.06,0.06,1,0.6801512839401398,40,1244
128,2672,19892,139200,589,0.09,0.23,0,0.6801845528534352,40,128
1245,529,2514,-666666666,-666666666,0.03,0.02,1,0.9057647833929005,41,1245
1096,1898,3976,-666666666,-666666666,0.0,0.0,0,0.9062478210054928,41,1096
1246,3590,5593,109400,732,0.2,0.36,1,0.691416211246382,42,1246
1025,3891,15657,133900,864,0.1,0.28,0,0.6906701114379115,42,1025
1247,2571,34411,192100,894,0.02,0.02,1,0.5812654612721299,43,1247
575,3729,17426,138300,742,0.16,0.27,0,0.5813623207494805,43,575
1248,2435,33013,236300,784,0.07,0.08,1,0.5212710897011597,44,1248
1055,4357,31612,259500,860,0.06,0.1,0,0.5210617992572467,44,1055
