,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1079,6249,33160,303700,1332,0.04,0.09,1,0.358782687871286,0,1079
316,3369,63966,717800,3501,0.04,0.01,0,0.3588029768594156,0,316
1080,5536,34940,345600,1815,0.02,0.05,1,0.32538070709948,1,1080
564,6136,43192,365500,1486,0.07,0.06,0,0.32524157293142913,1,564
1081,8142,41688,366700,1836,0.04,0.05,1,0.22119616841571418,2,1081
228,6580,79289,608100,2489,0.02,0.02,0,0.22114257963426584,2,228
1082,7696,29801,285600,1166,0.04,0.19,1,0.44449246468559245,3,1082
591,4909,29324,202600,982,0.04,0.1,0,0.44411044004273864,3,591
1083,2732,27126,277400,1367,0.06,0.09,1,0.5511830679579108,4,1083
871,4979,33807,306200,1688,0.04,0.17,0,0.5509489650776266,4,871
709,2365,41671,365200,1426,0.02,0.01,0,0.4150398817838403,5,709
1084,7147,26409,66000,1459,0.05,0.15,1,0.415124929347752,5,1084
1085,3002,33024,157700,1399,0.05,0.2,1,0.6967178725548826,6,1085
426,1754,36867,215300,1273,0.01,0.17,0,0.6944840153446173,6,426
1086,3782,35192,366600,1392,0.04,0.15,1,0.579695369734346,7,1086
124,1825,37469,447000,1160,0.07,0.08,0,0.5790683877384695,7,124
1087,3998,25056,-666666666,1394,0.06,0.24,1,0.777854121955796,8,1087
912,4989,24658,226300,983,0.04,0.33,0,0.7782925701260708,8,912
1088,3113,23182,-666666666,1275,0.11,0.2,1,0.7804199653612025,9,1088
629,4706,23232,149300,1104,0.08,0.31,0,0.778661020191616,9,629
1037,1656,26429,327700,1574,0.0,0.19,0,0.7273835063278424,10,1037
1089,1514,43450,250300,1319,0.01,0.19,1,0.727649376379904,10,1089
1090,3091,43424,359700,1627,0.03,0.11,1,0.5417107225223543,11,1090
523,1998,32099,290700,1058,0.03,0.07,0,0.5414050838630502,11,523
1091,2858,32922,287600,1541,0.1,0.1,1,0.5731012076841469,12,1091
262,2573,53938,949200,1335,0.02,0.12,0,0.5733612245896843,12,262
1092,4376,37527,362900,1414,0.05,0.14,1,0.5354862985166038,13,1092
371,2478,46388,261600,1273,0.06,0.08,0,0.5354145201020257,13,371
1093,2589,38434,436400,1620,0.02,0.08,1,0.5184418791458849,14,1093
576,3448,61443,-666666666,1804,0.1,0.04,0,0.5186419372923009,14,576
247,3359,40221,360800,1598,0.05,0.07,0,0.4730404192999056,15,247
1094,2627,48774,413000,1354,0.05,0.05,1,0.4730881169161983,15,1094
1095,2268,39245,638000,1405,0.05,0.18,1,0.6981677536439146,16,1095
669,3852,24453,178000,784,0.04,0.23,0,0.7014074773745986,16,669
1096,4356,33750,479700,1112,0.02,0.06,1,0.3979472595264822,17,1096
17,4626,42705,352400,1618,0.03,0.07,0,0.3980984651408887,17,17
1097,3163,40913,259800,1570,0.02,0.15,1,0.5993345267425793,18,1097
1033,3634,34276,252700,1088,0.03,0.16,0,0.599523225961677,18,1033
1098,2393,34763,-666666666,1760,0.01,0.11,1,0.6579769316022558,19,1098
989,1807,29224,123500,681,0.1,0.12,0,0.6579820092086149,19,989
1099,4165,26446,325600,1224,0.04,0.05,1,0.4046614357954901,20,1099
666,5720,32283,229300,1017,0.05,0.1,0,0.40469377545464047,20,666
256,1890,26860,121300,428,0.03,0.2,0,0.7401973153254342,21,256
1100,2464,26279,480200,915,0.06,0.21,1,0.7394562253491889,21,1100
1101,1629,23333,106500,288,0.02,0.2,1,0.7490812251383622,22,1101
545,1506,46609,271800,1188,0.0,0.21,0,0.7479407145952751,22,545
1102,2140,22005,46300,957,0.03,0.09,1,0.5728035978147413,23,1102
262,2573,53938,949200,1335,0.02,0.12,0,0.5733612245896843,23,262
1103,4340,39545,700500,1583,0.02,0.13,1,0.5073394231440986,24,1103
84,3576,38198,419500,1121,0.04,0.1,0,0.5077321942845214,24,84
1104,3678,27133,1736400,1692,0.05,0.26,1,0.7487498354274456,25,1104
545,1506,46609,271800,1188,0.0,0.21,0,0.7479407145952751,25,545
160,1742,27038,-666666666,1398,0.13,0.2,0,0.8278316294283605,26,160
1105,4167,25940,1116100,1848,0.05,0.35,1,0.8272509128577132,26,1105
