,tract,dispensary_status,matched_tract
0,8001007801,0,8041003801
1,8001007802,0,8041003002
2,8001007900,0,8041001800
3,8001007900,0,8083969301
4,8001008100,0,8031004506
5,8001008506,1,8013061300
6,8001008508,1,8041003906
7,8001008533,1,8005085100
8,8001008535,0,8005006604
9,8001008548,0,8081000300
10,8001008555,0,8031002000
11,8001008603,0,8101000500
12,8001008706,0,8031002802
13,8001008709,1,8041004602
14,8001008901,1,8069001707
15,8001009101,0,8031004110
16,8001009202,0,8031001301
17,8001009204,0,8031000301
18,8001009306,0,8031000600
19,8001009306,0,8041000400
20,8001009316,1,8059009832
21,8001009319,0,8069000503
22,8001009320,1,8031007090
23,8001009323,1,8005005701
24,8001009411,0,8107000600
25,8001009502,0,8069001603
26,8001009553,0,8013012107
27,8001009603,0,8059010801
28,8001009606,0,8031000201
29,8001009751,1,8077000601
30,8001015000,1,8041006100
31,8001060001,0,8041000500
32,8003960100,0,8013012501
33,8003960300,0,8077001800
34,8005004951,1,8123001906
35,8005004952,1,8039961100
36,8005005551,1,8013012106
37,8005005553,1,8031002709
38,8005005611,0,8013013601
39,8005005612,0,8031001705
40,8005005621,0,8117000203
41,8005005629,0,8031000401
42,8005005701,0,8001009323
43,8005005701,0,8041000700
44,8005005701,0,8101000904
45,8005005702,1,8041004404
46,8005005951,0,8031002901
47,8005006300,1,8005086802
48,8005006400,0,8031005004
49,8005006400,0,8059011300
50,8005006501,1,8043978600
51,8005006502,0,8089968300
52,8005006604,1,8001008535
53,8005006709,0,8045952003
54,8005006808,0,8037000200
55,8005006815,0,8041002000
56,8005006857,0,8031000504
57,8005006859,0,8083969400
58,8005006860,0,8023972700
59,8005006860,0,8031000904
60,8005007109,0,8101003105
61,8005007110,0,8123001500
62,8005007111,0,8013012204
63,8005007111,0,8101003103
64,8005007201,0,8115968300
65,8005007500,0,8123000800
66,8005007702,0,8069001706
67,8005080100,0,8077001702
68,8005081002,0,8041002901
69,8005081102,0,8069000401
70,8005081600,0,8041001302
71,8005081600,0,8041004506
72,8005081600,0,8059011551
73,8005082000,0,8041003402
74,8005082100,0,8087000600
75,8005084100,0,8031012015
76,8005084500,0,8031003801
77,8005084800,0,8123001800
78,8005085100,0,8001008533
79,8005085700,0,8031006810
80,8005085900,0,8069002700
81,8005086002,0,8031003005
82,8005086400,0,8117000403
83,8005086802,0,8005006300
84,8005086900,1,8123001417
85,8005087000,0,8031000102
86,8005087000,0,8101002700
87,8005087200,0,8031006818
88,8005087302,1,8105976800
89,8007940400,0,8031001500
90,8007940400,0,8041002801
91,8007940400,0,8123000703
92,8007974202,1,8043978300
93,8007974300,0,8065961702
94,8007974400,1,8009964700
95,8009964600,1,8041003001
96,8009964700,0,8007974400
97,8009964700,0,8071000500
98,8011966701,1,8013012106
99,8013012106,0,8005005551
100,8013012106,0,8011966701
101,8013012107,1,8001009553
102,8013012201,1,8041003001
103,8013012204,1,8005007111
104,8013012206,1,8059011552
105,8013012207,1,8105976800
106,8013012208,1,8031003703
107,8013012501,1,8003960100
108,8013012508,0,8101000100
109,8013012603,1,8041004901
110,8013012605,0,8101000800
111,8013012608,0,8069000202
112,8013012608,0,8077000500
113,8013012609,0,8069000504
114,8013012609,0,8117000201
115,8013012610,0,8031000800
116,8013012701,1,8069002508
117,8013012705,1,8041003708
118,8013012707,1,8014031401
119,8013012708,0,8051963800
120,8013012709,0,8031001704
121,8013012709,0,8037000504
122,8013012709,0,8069000100
123,8013012710,1,8035014112
124,8013013004,0,8031000303
125,8013013201,1,8031003703
126,8013013210,1,8035014112
127,8013013302,1,8077001304
128,8013013308,0,8077001705
129,8013013601,1,8005005611
130,8013013703,0,8031006814
131,8013013703,0,8037000404
132,8013013703,0,8041004403
133,8013013703,0,8071000800
134,8013013705,1,8031003602
135,8013060602,0,8123000600
136,8013060900,1,8031980200
137,8013061300,0,8001008506
138,8013061400,0,8059011726
139,8014030400,0,8069002404
140,8014031104,0,8031000202
141,8014031104,0,8049000100
142,8014031401,0,8013012707
143,8014031401,0,8041005300
144,8014031402,0,8091967602
145,8015000100,1,8049000204
146,8015000200,1,8041005601
147,8015000300,1,8085966501
148,8015000402,1,8059012036
149,8015000403,1,8083969600
150,8015000404,1,8031005104
151,8017960600,1,8085966100
152,8019014702,1,8101002906
153,8019014800,1,8031002402
154,8019014900,1,8041000900
155,8023972600,1,8041002902
156,8023972700,1,8005006860
157,8027970101,0,8093000300
158,8029964600,1,8083969600
159,8029964800,0,8041006702
160,8029964800,0,8059011904
161,8029965002,0,8107000100
162,8031000102,1,8005087000
163,8031000201,1,8001009606
164,8031000202,1,8014031104
165,8031000301,1,8001009204
166,8031000302,1,8059012030
167,8031000303,1,8013013004
168,8031000401,1,8005005629
169,8031000403,1,8059011710
170,8031000404,1,8101001600
171,8031000503,1,8041002902
172,8031000504,1,8005006857
173,8031000600,1,8001009306
174,8031000703,1,8041005400
175,8031000705,1,8051963900
176,8031000800,1,8013012610
177,8031000902,1,8059009845
178,8031000903,1,8041006000
179,8031000904,1,8005006860
180,8031001000,1,8123001910
181,8031001102,1,8059009835
182,8031001301,1,8001009202
183,8031001302,1,8031008305
184,8031001401,1,8041004501
185,8031001403,1,8091967601
186,8031001500,1,8007940400
187,8031001601,1,8043978200
188,8031001603,1,8077001200
189,8031001704,1,8013012709
190,8031001705,1,8005005612
191,8031001706,1,8053973100
192,8031001800,1,8101000905
193,8031001901,1,8041006100
194,8031002000,1,8001008555
195,8031002101,1,8041004404
196,8031002102,1,8123002014
197,8031002300,1,8045952001
198,8031002402,0,8019014800
199,8031002402,0,8069002804
