,Unnamed: 0,DBA,ZIP,TYPE,CITY,YEAR,LAT,LONG,google_name,address,TRACT,STATE,County
0,0,  HAPPY BUDDHA WELLNESS CENTER,80909.0,Med,Colorado Springs,2017,38.8472828,-104.7607104,Happy Buddha Wellness Center,"3612 Galley Rd, Colorado Springs, CO 80909, United States",2000.0,Colorado,El Paso
1,1, MOUNTAIN CANNABIS,81432.0,Rec,Ridgway,2019,38.1522961,-107.7496285,Rocky Mountain Cannabis,"153 US-550 #102, Ridgway, CO 81432, United States",967602.0,Colorado,Ouray
2,2,10185 RIDGE,80033.0,Med,Wheat Ridge,2018,39.7845264,-105.1358817,Solace Meds,"4845 Van Gordon St, Wheat Ridge, CO 80033, United States",10402.0,Colorado,Jefferson
3,3,1136 YUMA,80204.0,Med & Rec,Denver,2016,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
4,4,1136 YUMA,80204.0,Med & Rec,Denver,2017,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
5,5,1136 YUMA,80204.0,Med & Rec,Denver,2018,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
6,6,1136 YUMA,80204.0,Med & Rec,Denver,2019,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
7,7,1136 YUMA,80204.0,Med & Rec,Denver,2020,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
8,8,1136 YUMA,80204.0,Med & Rec,Denver,2021,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
9,9,1136 YUMA,80204.0,Med & Rec,Denver,2022,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
10,10,1136 YUMA,80246.0,Med,Glendale,2019,39.7343123,-105.0143072,1136 Yuma Way Recreational Marijuana Dispensary,"1136 Yuma Ct, Denver, CO 80204, United States",1901.0,Colorado,Denver
11,11,14ER HOLISTICS,80301.0,Med,Boulder,2014,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
12,12,14ER HOLISTICS,80301.0,Med,Boulder,2015,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
13,13,14ER HOLISTICS,80301.0,Med,Boulder,2016,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
14,14,14ER HOLISTICS,80301.0,Med,Boulder,2017,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
15,15,14ER HOLISTICS,80301.0,Med,Boulder,2018,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
16,16,14ER HOLISTICS,80301.0,Med,Boulder,2019,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
17,17,14ER HOLISTICS,80301.0,Med,Boulder,2020,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
18,18,14ER HOLISTICS,80301.0,Med,Boulder,2021,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
19,19,14ER HOLISTICS,80301.0,Med,Boulder,2022,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
20,20,14er HOLISTICS,80301.0,Rec,Boulder,2014,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
21,21,14er HOLISTICS,80301.0,Rec,Boulder,2015,40.0259307,-105.2564684,14er Boulder,"2897 Mapleton Ave Suite 800, Boulder, CO 80301, United States",12208.0,Colorado,Boulder
